iter	Passed	Remaining
0	7	7443
1	16	8308
2	24	8019
3	33	8382
4	40	8033
5	50	8337
6	56	8085
7	66	8271
8	73	8084
9	82	8204
10	89	8070
11	99	8162
12	105	8036
13	113	7988
14	121	8002
15	128	7906
16	138	8008
17	145	7940
18	155	8008
19	161	7929
20	171	7994
21	178	7918
22	187	7971
23	194	7903
24	203	7948
25	210	7886
26	219	7924
27	226	7864
28	236	7911
29	243	7859
30	252	7892
31	259	7840
32	266	7809
33	275	7822
34	281	7772
35	290	7781
36	297	7735
37	306	7758
38	313	7714
39	322	7729
40	328	7685
41	337	7702
42	345	7684
43	354	7708
44	361	7671
45	371	7694
46	377	7659
47	387	7694
48	394	7657
49	403	7675
50	410	7642
51	420	7658
52	426	7625
53	434	7609
54	443	7620
55	450	7598
56	459	7603
57	466	7571
58	475	7580
59	481	7550
60	491	7558
61	497	7529
62	506	7537
63	513	7507
64	522	7518
65	529	7490
66	538	7499
67	545	7471
68	554	7481
69	561	7455
70	570	7462
71	576	7435
72	586	7446
73	592	7419
74	603	7440
75	609	7414
76	619	7425
77	626	7401
78	635	7407
79	642	7383
80	651	7395
81	658	7375
82	666	7358
83	675	7363
84	683	7352
85	693	7372
86	700	7350
87	709	7356
88	716	7335
89	725	7340
90	732	7318
91	742	7325
92	748	7304
93	758	7310
94	765	7290
95	773	7279
96	781	7279
97	788	7258
98	797	7258
99	804	7237
100	813	7239
101	819	7218
102	828	7217
103	835	7197
104	844	7199
105	851	7179
106	860	7178
107	866	7158
108	876	7162
109	882	7142
110	892	7145
111	898	7126
112	908	7128
113	914	7108
114	924	7111
115	930	7091
116	940	7096
117	946	7077
118	956	7083
119	963	7065
120	973	7072
121	980	7054
122	989	7056
123	996	7039
124	1003	7027
125	1012	7023
126	1020	7011
127	1028	7008
128	1035	6990
129	1044	6990
130	1051	6972
131	1060	6971
132	1066	6953
133	1077	6962
134	1085	6956
135	1104	7014
136	1121	7061
137	1134	7087
138	1144	7086
139	1163	7145
140	1186	7228
141	1199	7246
142	1213	7274
143	1229	7311
144	1243	7332
145	1257	7357
146	1273	7390
147	1281	7379
148	1290	7368
149	1300	7371
150	1309	7361
151	1322	7378
152	1335	7391
153	1346	7396
154	1354	7383
155	1435	7763
156	1451	7791
157	1491	7946
158	1499	7932
159	1513	7945
160	1524	7945
161	1541	7975
162	1548	7951
163	1557	7939
164	1564	7915
165	1573	7905
166	1580	7881
167	1589	7873
168	1596	7850
169	1606	7841
170	1612	7818
171	1622	7809
172	1629	7788
173	1641	7792
174	1648	7772
175	1655	7751
176	1664	7738
177	1670	7716
178	1679	7702
179	1686	7680
180	1694	7668
181	1701	7646
182	1709	7632
183	1716	7611
184	1724	7597
185	1731	7576
186	1739	7561
187	1745	7540
188	1752	7521
189	1760	7503
190	1767	7485
191	1774	7465
192	1781	7447
193	1788	7432
194	1796	7414
195	1804	7401
196	1811	7383
197	1818	7367
198	1827	7354
199	1836	7345
200	1846	7339
201	1852	7319
202	1862	7313
203	1869	7294
204	1879	7286
205	1885	7268
206	1895	7260
207	1902	7242
208	1911	7233
209	1919	7219
210	1926	7203
211	1933	7186
212	1941	7173
213	1948	7157
214	1956	7142
215	1963	7126
216	1973	7122
217	1986	7125
218	1994	7114
219	2002	7099
220	2009	7082
221	2017	7070
222	2024	7054
223	2032	7041
224	2039	7025
225	2047	7013
226	2055	6999
227	2062	6984
228	2069	6968
229	2076	6953
230	2083	6936
231	2091	6922
232	2098	6907
233	2106	6896
234	2113	6881
235	2121	6869
236	2130	6857
237	2137	6842
238	2145	6832
239	2152	6816
240	2160	6804
241	2167	6789
242	2175	6778
243	2182	6762
244	2190	6751
245	2197	6735
246	2205	6723
247	2212	6707
248	2219	6694
249	2226	6680
250	2233	6666
251	2240	6651
252	2247	6637
253	2254	6622
254	2262	6610
255	2269	6596
256	2277	6582
257	2284	6569
258	2291	6555
259	2299	6543
260	2307	6532
261	2314	6518
262	2322	6507
263	2329	6493
264	2337	6482
265	2344	6469
266	2351	6455
267	2359	6444
268	2366	6431
269	2374	6421
270	2381	6407
271	2389	6395
272	2396	6382
273	2405	6372
274	2412	6358
275	2420	6349
276	2428	6339
277	2435	6326
278	2443	6315
279	2450	6302
280	2458	6291
281	2466	6278
282	2473	6266
283	2480	6254
284	2487	6241
285	2495	6230
286	2503	6218
287	2511	6209
288	2518	6196
289	2526	6185
290	2533	6172
291	2540	6160
292	2547	6148
293	2556	6138
294	2563	6125
295	2571	6114
296	2579	6104
297	2586	6092
298	2594	6082
299	2601	6070
300	2609	6059
301	2616	6047
302	2624	6036
303	2631	6024
304	2639	6014
305	2646	6002
306	2653	5990
307	2661	5978
308	2668	5966
309	2676	5957
310	2683	5944
311	2691	5935
312	2698	5923
313	2706	5913
314	2715	5904
315	2722	5892
316	2729	5881
317	2736	5869
318	2744	5859
319	2752	5848
320	2760	5838
321	2767	5827
322	2775	5817
323	2782	5805
324	2791	5798
325	2798	5785
326	2806	5775
327	2813	5763
328	2821	5753
329	2828	5742
330	2835	5730
331	2842	5719
332	2849	5707
333	2856	5696
334	2864	5686
335	2872	5676
336	2879	5664
337	2887	5655
338	2894	5644
339	2902	5633
340	2909	5622
341	2917	5613
342	2924	5601
343	2932	5591
344	2939	5581
345	2947	5571
346	2954	5559
347	2963	5551
348	2970	5541
349	2977	5530
350	2986	5521
351	2993	5510
352	3001	5501
353	3008	5490
354	3015	5479
355	3022	5468
356	3030	5458
357	3038	5448
358	3045	5438
359	3053	5428
360	3060	5418
361	3068	5407
362	3075	5396
363	3083	5387
364	3091	5377
365	3098	5367
366	3105	5355
367	3114	5348
368	3121	5337
369	3129	5327
370	3136	5318
371	3143	5307
372	3151	5297
373	3158	5287
374	3166	5277
375	3173	5267
376	3181	5256
377	3189	5247
378	3196	5236
379	3203	5227
380	3211	5217
381	3219	5208
382	3226	5197
383	3234	5188
384	3241	5178
385	3249	5168
386	3256	5157
387	3264	5149
388	3271	5138
389	3279	5129
390	3287	5120
391	3294	5110
392	3302	5101
393	3310	5091
394	3317	5080
395	3325	5072
396	3332	5062
397	3341	5053
398	3348	5044
399	3356	5034
400	3364	5025
401	3371	5015
402	3379	5006
403	3386	4996
404	3393	4985
405	3402	4977
406	3409	4967
407	3416	4957
408	3423	4947
409	3431	4938
410	3438	4928
411	3447	4919
412	3454	4909
413	3462	4901
414	3469	4890
415	3477	4881
416	3484	4871
417	3493	4863
418	3500	4853
419	3507	4844
420	3515	4835
421	3523	4825
422	3531	4816
423	3538	4806
424	3546	4797
425	3553	4788
426	3561	4779
427	3568	4769
428	3576	4760
429	3583	4750
430	3591	4741
431	3599	4732
432	3605	4721
433	3614	4713
434	3621	4703
435	3629	4695
436	3636	4685
437	3644	4676
438	3652	4667
439	3659	4658
440	3667	4648
441	3675	4639
442	3682	4629
443	3690	4621
444	3697	4611
445	3705	4603
446	3713	4594
447	3721	4585
448	3729	4576
449	3736	4566
450	3744	4558
451	3751	4548
452	3759	4539
453	3766	4530
454	3774	4521
455	3782	4512
456	3790	4504
457	3797	4494
458	3805	4484
459	3812	4475
460	3820	4466
461	3827	4456
462	3834	4447
463	3841	4438
464	3850	4429
465	3857	4420
466	3864	4410
467	3872	4402
468	3879	4392
469	3887	4383
470	3894	4374
471	3902	4365
472	3909	4355
473	3917	4347
474	3923	4337
475	3932	4328
476	3939	4319
477	3947	4310
478	3955	4302
479	3963	4293
480	3971	4285
481	3978	4275
482	3985	4266
483	3992	4256
484	3999	4247
485	4007	4238
486	4015	4229
