iter	Logloss
0	0.6831446838
1	0.6736334991
2	0.6657476807
3	0.6575528717
4	0.6513699341
5	0.6446216583
6	0.6370903015
7	0.6305590439
8	0.6235521698
9	0.6171966934
10	0.6119978714
11	0.6053151321
12	0.6010315323
13	0.5944589996
14	0.5887938309
15	0.5831578827
16	0.5788681412
17	0.574679451
18	0.5695424271
19	0.5655937576
20	0.5612045288
21	0.5567922592
22	0.5522822571
23	0.5482139969
24	0.5453622055
25	0.5408362961
26	0.5371047211
27	0.5336870575
28	0.5294123077
29	0.525312767
30	0.5220239639
31	0.5186107635
32	0.5150862885
33	0.5119792175
34	0.5082190323
35	0.5043919373
36	0.5009313965
37	0.4979866409
38	0.4947683716
39	0.4916292191
40	0.4886151886
41	0.4851943207
42	0.4820948792
43	0.4787268066
44	0.4769251633
45	0.474431076
46	0.4718048096
47	0.4697434235
48	0.4671911621
49	0.4646043396
50	0.4629144287
51	0.460578537
52	0.4581971359
53	0.4556476974
54	0.4533942795
55	0.4508917999
56	0.4490190887
57	0.4468251038
58	0.4451774597
59	0.4435926819
60	0.4410896301
61	0.4383528137
62	0.4367537689
63	0.4349187469
64	0.4332097244
65	0.4316358185
66	0.4298084259
67	0.4282432938
68	0.4272441483
69	0.4254242706
70	0.4232785797
71	0.421492691
72	0.420243721
73	0.418665657
74	0.4169060516
75	0.415719223
76	0.4142964935
77	0.4131351852
78	0.4117100906
79	0.4103736877
80	0.4088605499
81	0.4074336243
82	0.4066094589
83	0.4050317001
84	0.4034786224
85	0.4018148804
86	0.4003910065
87	0.3990142441
88	0.3976644135
89	0.3964072418
90	0.3954775238
91	0.3944783783
92	0.3930750275
93	0.3916821671
94	0.3905994797
95	0.3897157288
96	0.3888863373
97	0.3876153946
98	0.3864161682
99	0.3855344009
100	0.384588356
101	0.3834670639
102	0.3825172424
103	0.3816264343
104	0.3797023392
105	0.3785829163
106	0.3774451065
107	0.376087265
108	0.3749993515
109	0.3740894318
110	0.3731241989
111	0.3723352814
112	0.3716789627
113	0.3702679825
114	0.3691396332
115	0.3684796906
116	0.3675728989
117	0.3667220306
118	0.3656552124
119	0.3647035217
120	0.364130249
121	0.3630505371
122	0.3622048187
123	0.3615085602
124	0.3604444504
125	0.3594581985
126	0.3584732437
127	0.357730751
128	0.3569486618
129	0.3561270142
130	0.3553110886
131	0.3545002747
132	0.3535261917
133	0.352815094
134	0.3517447662
135	0.3512919998
136	0.3502130127
137	0.349232254
138	0.3484130859
139	0.3476546478
140	0.3466029358
141	0.3456365585
142	0.3444137955
143	0.3433812714
144	0.3427610779
145	0.3418462753
146	0.3413266373
147	0.340450325
148	0.339826889
149	0.339186058
150	0.3386772919
151	0.338259964
152	0.3377386856
153	0.3368793869
154	0.336244545
155	0.335636673
156	0.3349774933
157	0.3342749786
158	0.33313797
159	0.332511673
160	0.331914444
161	0.3311074066
162	0.330526123
163	0.3296788788
164	0.3292259216
165	0.3285949707
166	0.327958107
167	0.3270848083
168	0.3265155792
169	0.32582798
170	0.3252294922
171	0.324414711
172	0.3238259125
173	0.3234819031
174	0.3230270767
175	0.3225646973
176	0.3219159698
177	0.321081543
178	0.32043396
179	0.3197670746
180	0.3193499565
181	0.3187254715
182	0.3179459953
183	0.31740345
184	0.3165668106
185	0.3158936501
186	0.3151903534
187	0.3147178841
188	0.3141802216
189	0.3135053635
190	0.3131658554
191	0.3125904655
192	0.3120907974
193	0.3115287971
194	0.3108482742
195	0.3103928566
196	0.309593792
197	0.3089458275
198	0.3084625053
199	0.3078653908
200	0.3073277283
201	0.3068569183
202	0.3061779976
203	0.3055570984
204	0.3050392532
205	0.3044291496
206	0.3039509392
207	0.303196907
208	0.3027069092
209	0.3024764633
210	0.3021656036
211	0.3016978264
212	0.3008124733
213	0.3002793121
214	0.2999521637
215	0.299598465
216	0.2989513016
217	0.2985791016
218	0.2981542206
219	0.2976939201
220	0.2973403168
221	0.2968243027
222	0.2964844894
223	0.2960805321
224	0.2956721878
225	0.2949960136
226	0.2941214943
227	0.293600769
228	0.2933145142
229	0.2929826355
230	0.2924396896
231	0.2921414948
232	0.2915108299
233	0.2909347343
234	0.2905783844
235	0.2901915169
236	0.2896564102
237	0.2890569878
238	0.2886603546
239	0.2881401634
240	0.287865963
241	0.2874794006
242	0.2871092415
243	0.2863391113
244	0.2859127045
245	0.2856026459
246	0.2852379417
247	0.2847875023
248	0.2842826462
249	0.283935318
250	0.2833318138
251	0.2829560089
252	0.2824977112
253	0.2821677589
254	0.2817666817
255	0.2815895462
256	0.2813180733
257	0.2810663414
258	0.2804832649
259	0.2802415085
260	0.2800249672
261	0.2796756172
262	0.2794185638
263	0.2788452911
264	0.2784287834
265	0.2780417442
266	0.2777548027
267	0.2773818588
268	0.2769844818
269	0.2766862488
270	0.2762066078
271	0.2759611511
272	0.2756668472
273	0.2753964043
274	0.2751634598
275	0.2747459412
276	0.2742896652
277	0.2740747833
278	0.2735682106
279	0.2729690933
280	0.2725324631
281	0.2720755768
282	0.2717051315
283	0.2712467384
284	0.2707649612
285	0.2702991486
286	0.2699040604
287	0.2695763397
288	0.2693364334
289	0.268922081
290	0.2686502075
291	0.2681658936
292	0.2678942871
293	0.2676603889
294	0.2672455788
295	0.2668800735
296	0.2666869164
297	0.2663344955
298	0.2661025429
299	0.2657909966
300	0.2653344345
301	0.2651152039
302	0.2649353218
303	0.2647688675
304	0.2642954826
305	0.2639723396
306	0.26356493
307	0.2632884026
308	0.2629723167
309	0.2625707626
310	0.2621470642
311	0.261608448
312	0.2612078857
313	0.2609046173
314	0.2605630112
315	0.2603089142
316	0.2599735641
317	0.2597287369
318	0.2594445801
319	0.2591889954
320	0.2588325691
321	0.2584677887
322	0.2582069016
323	0.2579581642
324	0.2576088333
325	0.2574100494
326	0.257089119
327	0.2565805054
328	0.2563250351
329	0.2558667755
330	0.2556123352
331	0.2554652405
332	0.2552323151
333	0.2548967361
334	0.2546724701
335	0.2542983055
336	0.2540881348
337	0.2537155533
338	0.2533393478
339	0.253020668
340	0.252695961
341	0.252556076
342	0.2522429848
343	0.2520615578
344	0.2519396591
345	0.2514940262
346	0.2513232422
347	0.2510390091
348	0.2506369019
349	0.2502607346
350	0.2498991966
351	0.2496002197
352	0.2493356895
353	0.2489526749
354	0.2486397552
355	0.2481229782
356	0.2477022171
357	0.2472958946
358	0.2471117592
359	0.2468186951
360	0.2465805817
361	0.2462828636
362	0.2461091042
363	0.245902977
364	0.2456000519
365	0.2452709007
366	0.2450802612
367	0.2447052383
368	0.2444746971
369	0.2440733337
370	0.2438898468
371	0.2436822891
372	0.243481102
373	0.2432676888
374	0.2431305504
375	0.2427626801
376	0.2424420929
377	0.2420692062
378	0.2418170929
379	0.241624012
380	0.2413640594
381	0.2412095642
382	0.2408885574
383	0.2404123306
384	0.2401592636
385	0.2398956871
386	0.2396630287
387	0.239391346
388	0.2391387939
389	0.2389554596
390	0.2385943222
391	0.2382907104
392	0.2380227852
393	0.2375755501
394	0.2373540115
395	0.2371018219
396	0.2367839622
397	0.2365628242
398	0.236286087
399	0.2360505676
400	0.2358113861
401	0.23567276
402	0.2354809189
403	0.2353183365
404	0.2350827408
405	0.2348516464
406	0.2346653175
407	0.2344409561
408	0.2340852737
409	0.23389328
410	0.2337650299
411	0.2335892487
