iter	Passed	Remaining
0	157	157074
1	163	81746
2	172	57186
3	178	44501
4	186	37098
5	193	32035
6	200	28454
7	207	25732
8	214	23604
9	222	22023
10	231	20841
11	240	19763
12	248	18846
13	254	17938
14	263	17273
15	269	16581
16	276	15967
17	283	15454
18	289	14964
19	297	14593
20	304	14185
21	312	13875
22	318	13539
23	326	13265
24	333	13017
25	341	12779
26	347	12534
27	354	12319
28	362	12139
29	371	12026
30	381	11936
31	390	11811
32	398	11687
33	409	11628
34	417	11497
35	428	11461
36	438	11401
37	449	11387
38	459	11331
39	468	11241
40	475	11129
41	484	11054
42	498	11087
43	507	11019
44	519	11020
45	534	11081
46	549	11139
47	557	11059
48	569	11055
49	582	11065
50	590	10989
51	601	10974
52	612	10938
53	622	10903
54	633	10891
55	644	10858
56	653	10803
57	663	10781
58	672	10723
59	681	10678
60	691	10637
61	698	10572
62	707	10528
63	715	10458
64	724	10417
65	730	10340
66	738	10278
67	745	10212
68	752	10158
69	760	10108
70	770	10085
71	779	10050
72	788	10006
73	794	9942
74	802	9893
75	808	9833
76	815	9776
77	822	9727
78	829	9670
79	837	9631
80	843	9575
81	852	9538
82	859	9496
83	866	9454
84	873	9403
85	880	9355
86	887	9309
87	893	9260
88	901	9227
89	907	9180
90	915	9146
91	922	9102
92	929	9066
93	936	9024
94	942	8980
95	951	8959
96	958	8923
97	967	8905
98	977	8897
99	987	8886
100	995	8861
101	1002	8824
102	1013	8825
103	1022	8806
104	1036	8834
105	1051	8870
106	1062	8865
107	1070	8845
108	1081	8838
109	1089	8814
110	1098	8794
111	1109	8793
112	1120	8795
113	1129	8777
114	1139	8765
115	1147	8746
116	1159	8750
117	1172	8763
118	1185	8779
119	1192	8745
120	1201	8727
121	1209	8707
122	1219	8692
123	1228	8679
124	1241	8688
125	1249	8667
126	1257	8647
127	1266	8627
128	1274	8603
129	1281	8577
130	1288	8549
131	1295	8518
132	1303	8496
133	1309	8465
134	1318	8450
135	1325	8420
136	1334	8404
137	1340	8374
